,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
162,Alice in Wonderland,7.4 (139k),"Action & Adventure , Animation , Kids & Family , Fantasy , Comedy ",1h 15min,G,Clyde Geronimi 
163,The Lion King,8.5 (1m),"Drama , Kids & Family , Animation ",1h 29min,G,Roger Allers 
164,Cars,7.2 (409k),"Animation , Kids & Family , Sport , Comedy ",1h 57min,G,John Lasseter 
165,Diary of a Wimpy Kid,6.2 (49k),"Comedy , Drama , Kids & Family , Animation ",1h 32min,PG,Thor Freudenthal 
166,Cheaper by the Dozen,4.3 (5k),"Comedy , Kids & Family , Romance ",1h 47min,PG,Gail Lerner 
167,High School Musical,5.4 (87k),"Comedy , Drama , Romance , Kids & Family , Music & Musical ",1h 38min,G,Kenny Ortega 
168,Saving Mr. Banks,7.5 (160k),"Drama , Comedy , Music & Musical ",2h 5min,PG-13,John Lee Hancock 
169,Star Wars: The Last Jedi,6.9 (616k),"Science-Fiction , Action & Adventure , Fantasy ",2h 32min,PG-13,Rian Johnson 
170,Ralph Breaks the Internet,7.0 (151k),"Comedy , Mystery & Thriller , Drama , Kids & Family , Fantasy , Science-Fiction , Animation ",1h 52min,PG,Rich Moore 
171,The Kid Who Would Be King,6.1 (16k),"Fantasy , Kids & Family , Action & Adventure ",2h 0min,PG,Joe Cornish 
172,The Jungle Book,7.4 (271k),"Drama , Kids & Family , Fantasy , Comedy , Animation , Action & Adventure ",1h 45min,PG,Jon Favreau 
173,"20,000 Leagues Under the Sea",7.2 (33k),"Science-Fiction , Fantasy , Drama , Kids & Family ",2h 7min,G,Richard Fleischer 
174,Ant-Man,7.3 (646k),"Science-Fiction , Crime , Action & Adventure , Comedy ",1h 57min,PG-13,Peyton Reed 
175,The Ice Age Adventures of Buck Wild,4.3 (12k),"Animation , Action & Adventure , Fantasy , Comedy , Kids & Family , Drama ",1h 22min,PG,John C. Donkin 
176,Muppet Treasure Island,6.9 (24k),"Comedy , Romance , Action & Adventure , Kids & Family ",1h 40min,G,Brian Henson 
177,"McFarland, USA",7.4 (38k),"Kids & Family , Drama , Sport ",2h 8min,PG,Niki Caro 
178,Because of Winn-Dixie,6.3 (11k),"Drama , Comedy , Kids & Family ",1h 46min,PG,Wayne Wang 
179,Wild Hearts Can't Be Broken,7.1 (5k),"Drama , Kids & Family , Romance ",1h 28min,G,Steve Miner 
180,Meet the Robinsons,6.8 (98k),"Animation , Comedy , Kids & Family , Music & Musical , Science-Fiction , Fantasy , Drama ",1h 35min,G,Stephen J. Anderson 
